"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.900047,0.900047,0.099953,90.0047,5497.42,675035,9.9953,9000.47,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,72,72,0.284,0,0
0.899953,0.899953,0.100047,89.9953,5502.58,674965,10.0047,8999.53,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,73,73,0.288,0,0
0.900031,0.900031,0.0999686,90.0031,5498.28,675024,9.99686,9000.31,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,74,74,0.292,0,0
0.899995,0.899995,0.100005,89.9995,5500.28,674996,10.0005,8999.95,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,75,75,0.296,0,0
0.899977,0.899977,0.100023,89.9977,5501.29,674982,10.0023,8999.77,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,76,76,0.3,0,0
0.900044,0.900044,0.0999558,90.0044,5497.57,675033,9.99558,9000.44,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,77,77,0.304,0,0
0.89995,0.89995,0.10005,89.995,5502.73,674963,10.005,8999.5,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,78,78,0.308,0,0
0.900037,0.900037,0.099963,90.0037,5497.97,675028,9.9963,9000.37,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,79,79,0.312,0,0
0.89999,0.89999,0.10001,89.999,5500.58,674992,10.001,8999.9,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,80,80,0.316,0,0
0.899979,0.899979,0.100021,89.9979,5501.13,674985,10.0021,8999.79,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,81,81,0.32,0,0
0.900044,0.900044,0.0999558,90.0044,5497.57,675033,9.99558,9000.44,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,82,82,0.324,0,0
0.899949,0.899949,0.100051,89.9949,5502.8,674962,10.0051,8999.49,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,83,83,0.328,0,0
0.900037,0.900037,0.0999628,90.0037,5497.95,675028,9.99628,9000.37,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,84,84,0.332,0,0
0.899992,0.899992,0.100008,89.9992,5500.45,674994,10.0008,8999.92,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,85,85,0.336,0,0
0.899975,0.899975,0.100025,89.9975,5501.37,674981,10.0025,8999.75,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,86,86,0.34,0,0
0.900048,0.900048,0.099952,90.0048,5497.36,675036,9.9952,9000.48,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,87,87,0.344,0,0
0.899949,0.899949,0.100051,89.9949,5502.79,674962,10.0051,8999.49,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,88,88,0.348,0,0
0.900031,0.900031,0.0999689,90.0031,5498.29,675023,9.99689,9000.31,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,89,89,0.352,0,0
0.900003,0.900003,0.0999971,90.0003,5499.84,675002,9.99971,9000.03,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,90,90,0.356,0,0
0.899964,0.899964,0.100036,89.9964,5501.99,674973,10.0036,8999.64,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,91,91,0.36,0,0
0.900053,0.900053,0.0999467,90.0053,5497.07,675040,9.99467,9000.53,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,92,92,0.364,0,0
0.899955,0.899955,0.100045,89.9955,5502.49,674966,10.0045,8999.55,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,93,93,0.368,0,0
0.900015,0.900015,0.0999849,90.0015,5499.17,675011,9.99849,9000.15,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,94,94,0.372,0,0
0.900023,0.900023,0.0999767,90.0023,5498.72,675017,9.99767,9000.23,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,95,95,0.376,0,0
0.899949,0.899949,0.100051,89.9949,5502.79,674962,10.0051,8999.49,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,96,96,0.38,0,0
0.900053,0.900053,0.0999472,90.0053,5497.1,675040,9.99472,9000.53,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,97,97,0.384,0,0
0.899973,0.899973,0.100027,89.9973,5501.49,674980,10.0027,8999.73,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,98,98,0.388,0,0
0.899986,0.899986,0.100014,89.9986,5500.75,674990,10.0014,8999.86,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,99,99,0.392,0,0
0.900048,0.900048,0.099952,90.0048,5497.36,675036,9.9952,9000.48,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,100,100,0.396,0,0
0.899943,0.899943,0.100057,89.9943,5503.11,674958,10.0057,8999.43,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,101,101,0.4,0,0
0.900033,0.900033,0.0999666,90.0033,5498.16,675025,9.99666,9000.33,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,102,102,0.404,0,0
0.90001,0.90001,0.0999903,90.001,5499.47,675007,9.99903,9000.1,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,103,103,0.408,0,0
0.899952,0.899952,0.100048,89.9952,5502.65,674964,10.0048,8999.52,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,104,104,0.412,0,0
0.900059,0.900059,0.0999411,90.0059,5496.76,675044,9.99411,9000.59,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,105,105,0.416,0,0
0.899966,0.899966,0.100034,89.9966,5501.87,674975,10.0034,8999.66,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,106,106,0.42,0,0
0.899987,0.899987,0.100013,89.9987,5500.72,674990,10.0013,8999.87,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,107,107,0.424,0,0
0.900053,0.900053,0.0999468,90.0053,5497.07,675040,9.99468,9000.53,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,108,108,0.428,0,0
0.89994,0.89994,0.10006,89.994,5503.31,674955,10.006,8999.4,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,109,109,0.432,0,0
0.900028,0.900028,0.0999723,90.0028,5498.47,675021,9.99723,9000.28,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,110,110,0.436,0,0
0.900025,0.900025,0.0999754,90.0025,5498.65,675018,9.99754,9000.25,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,111,111,0.44,0,0
0.899938,0.899938,0.100062,89.9938,5503.41,674953,10.0062,8999.38,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,112,112,0.444,0,0
0.900057,0.900057,0.0999426,90.0057,5496.84,675043,9.99426,9000.57,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,113,113,0.448,0,0
0.899988,0.899988,0.100012,89.9988,5500.64,674991,10.0012,8999.88,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,114,114,0.452,0,0
0.899956,0.899956,0.100044,89.9956,5502.44,674967,10.0044,8999.56,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,115,115,0.456,0,0
0.90007,0.90007,0.09993,90.007,5496.15,675053,9.993,9000.7,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,116,116,0.46,0,0
0.899956,0.899956,0.100044,89.9956,5502.41,674967,10.0044,8999.56,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,117,117,0.464,0,0
0.899983,0.899983,0.100017,89.9983,5500.96,674987,10.0017,8999.83,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,118,118,0.468,0,0
0.900068,0.900068,0.0999322,90.0068,5496.27,675051,9.99322,9000.68,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,119,119,0.472,0,0
0.899934,0.899934,0.100066,89.9934,5503.64,674950,10.0066,8999.34,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,120,120,0.476,0,0
0.90001,0.90001,0.0999899,90.001,5499.44,675008,9.99899,9000.1,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,121,121,0.48,0,0
0.900057,0.900057,0.0999426,90.0057,5496.84,675043,9.99426,9000.57,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,122,122,0.484,0,0
0.89992,0.89992,0.10008,89.992,5504.38,674940,10.008,8999.2,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,123,123,0.488,0,0
0.900034,0.900034,0.0999661,90.0034,5498.14,675025,9.99661,9000.34,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,124,124,0.492,0,0
0.900045,0.900045,0.0999551,90.0045,5497.53,675034,9.99551,9000.45,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,125,125,0.496,0,0
0.899912,0.899912,0.100088,89.9912,5504.83,674934,10.0088,8999.12,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,126,126,0.5,0,0
0.900052,0.900052,0.0999481,90.0052,5497.14,675039,9.99481,9000.52,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,127,127,0.504,0,0
0.900036,0.900036,0.0999644,90.0036,5498.04,675027,9.99644,9000.36,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,128,128,0.508,0,0
0.899905,0.899905,0.100095,89.9905,5505.22,674929,10.0095,8999.05,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,129,129,0.512,0,0
0.900065,0.900065,0.0999354,90.0065,5496.45,675048,9.99354,9000.65,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,130,130,0.516,0,0
0.900033,0.900033,0.0999665,90.0033,5498.16,675025,9.99665,9000.33,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,131,131,0.52,0,0
0.899895,0.899895,0.100105,89.9895,5505.77,674921,10.0105,8998.95,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,132,132,0.524,0,0
0.900071,0.900071,0.0999288,90.0071,5496.08,675053,9.99288,9000.71,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,133,133,0.528,0,0
0.900043,0.900043,0.0999573,90.0043,5497.65,675032,9.99573,9000.43,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,134,134,0.532,0,0
0.89988,0.89988,0.10012,89.988,5506.6,674910,10.012,8998.8,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,135,135,0.536,0,0
0.900069,0.900069,0.0999312,90.0069,5496.22,675052,9.99312,9000.69,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,136,136,0.54,0,0
0.900067,0.900067,0.0999325,90.0067,5496.29,675051,9.99325,9000.67,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,137,137,0.544,0,0
0.899862,0.899862,0.100138,89.9862,5507.59,674897,10.0138,8998.62,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,138,138,0.548,0,0
0.900048,0.900048,0.0999519,90.0048,5497.36,675036,9.99519,9000.48,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,139,139,0.552,0,0
0.900113,0.900113,0.0998872,90.0113,5493.8,675085,9.98872,9001.13,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,140,140,0.556,0,0
0.899851,0.899851,0.100149,89.9851,5508.22,674888,10.0149,8998.51,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,141,141,0.56,0,0
0.899994,0.899994,0.100006,89.9994,5500.3,674996,10.0006,8999.94,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,142,142,0.564,0,0
0.900175,0.900175,0.0998254,90.0175,5490.4,675131,9.98254,9001.75,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,143,143,0.568,0,0
0.899873,0.899873,0.100127,89.9873,5506.96,674905,10.0127,8998.73,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,144,144,0.572,0,0
0.89989,0.89989,0.10011,89.989,5506.03,674918,10.011,8998.9,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,145,145,0.576,0,0
0.900225,0.900225,0.0997749,90.0225,5487.62,675169,9.97749,9002.25,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,146,146,0.58,0,0
0.899978,0.899978,0.100022,89.9978,5501.2,674984,10.0022,8999.78,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,147,147,0.584,0,0
0.899746,0.899746,0.100254,89.9746,5513.99,674809,10.0254,8997.46,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,148,148,0.588,0,0
0.90018,0.90018,0.0998199,90.018,5490.1,675135,9.98199,9001.8,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,149,149,0.592,0,0
