"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_number_aux_g","mach_number_aux_l","norm_velocity_aux_g","norm_velocity_aux_l","pressure_aux_g","pressure_aux_l","temperature_aux_g","temperature_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.326421,0.445878,1.74347,294.188,4.3138e+06,2.25221e+08,52.9811,8720.27,0.732087,4.2978,901.254,1.06319e+07,6.89576e+08,0.0581714,0.0183493,30.3884,29.6418,820172,807907,426.734,452.954,30.3884,29.6418,35,35,0.34,0,0
0.312935,0.443184,1.6684,282.032,4.12431e+06,2.15926e+08,52.9429,8717.11,0.706107,4.24343,901.247,1.04877e+07,6.89572e+08,0.0609022,0.0191333,31.7328,30.9082,805624,791702,424.535,452.95,31.7328,30.9082,36,36,0.35,0,0
0.299784,0.440025,1.59559,270.177,3.94028e+06,2.06861e+08,52.9596,8719.12,0.681288,4.18237,901.24,1.0326e+07,6.89566e+08,0.0638889,0.0199776,33.1912,32.2719,789370,772776,422.043,452.945,33.1912,32.2719,37,37,0.36,0,0
0.287168,0.436606,1.52551,258.805,3.76301e+06,1.98166e+08,52.9261,8716.45,0.657726,4.11677,901.232,1.01525e+07,6.89561e+08,0.0669956,0.0208492,34.6941,33.6797,772038,753096,419.353,452.94,34.6941,33.6797,38,38,0.37,0,0
0.274975,0.432681,1.45807,247.814,3.59219e+06,1.89764e+08,52.9349,8717.77,0.635516,4.04414,901.223,9.9607e+06,6.89555e+08,0.0703586,0.0217773,36.3047,35.1787,752973,730657,416.344,452.934,36.3047,35.1787,39,39,0.38,0,0
0.263352,0.428393,1.39365,237.336,3.42885e+06,1.81754e+08,52.9053,8715.48,0.614743,3.9661,901.213,9.75505e+06,6.89548e+08,0.0738591,0.0227329,37.9616,36.7221,732668,707169,413.087,452.929,37.9616,36.7221,40,40,0.39,0,0
0.252219,0.423548,1.33218,227.301,3.27271e+06,1.74082e+08,52.9074,8716.18,0.595492,3.88083,901.203,9.53079e+06,6.89541e+08,0.0776094,0.0237386,39.7149,38.3465,710667,680979,409.487,452.922,39.7149,38.3465,41,41,0.4,0,0
0.241676,0.418243,1.27392,217.797,3.12452e+06,1.66818e+08,52.8812,8714.15,0.577836,3.78963,901.192,9.29148e+06,6.89534e+08,0.0815067,0.0247689,41.5106,40.0105,687372,653568,405.596,452.915,41.5106,40.0105,42,42,0.41,0,0
0.231668,0.412334,1.2188,208.775,2.98402e+06,1.59923e+08,52.8782,8714.31,0.561847,3.69132,901.18,9.03413e+06,6.89525e+08,0.0856386,0.0258399,43.3856,41.7402,662519,623665,401.342,452.907,43.3856,41.7402,43,43,0.42,0,0
0.222257,0.405885,1.16697,200.291,2.85169e+06,1.5344e+08,52.8554,8712.45,0.547586,3.58705,901.168,8.76187e+06,6.89517e+08,0.0899168,0.0269289,45.2927,43.4989,636468,592555,396.768,452.9,45.2927,43.4989,44,44,0.43,0,0
0.2134,0.398796,1.11835,192.307,2.72723e+06,1.47338e+08,52.8491,8712.14,0.535112,3.47626,901.155,8.47338e+06,6.89508e+08,0.0944046,0.0280463,47.2562,45.3034,609126,559362,391.826,452.891,47.2562,45.3034,45,45,0.44,0,0
0.205131,0.391119,1.07301,184.852,2.61088e+06,1.41643e+08,52.8302,8710.38,0.524472,3.36008,901.141,8.17177e+06,6.89498e+08,0.0990272,0.0291717,49.2354,47.1209,580845,525216,386.553,452.883,49.2354,47.1209,46,46,0.45,0,0
0.19741,0.382794,1.03081,177.891,2.50226e+06,1.36325e+08,52.8227,8709.66,0.515708,3.2385,901.127,7.85711e+06,6.89489e+08,0.103826,0.0303109,51.2439,48.9605,551674,489602,380.923,452.874,51.2439,48.9605,47,47,0.46,0,0
0.190252,0.373881,0.991735,171.438,2.40138e+06,1.31396e+08,52.8085,8708.01,0.508856,3.11274,901.112,7.53277e+06,6.89479e+08,0.108739,0.0314462,53.2486,50.7939,521975,453514,374.977,452.865,53.2486,50.7939,48,48,0.47,0,0
0.183611,0.364348,0.955598,165.451,2.30775e+06,1.26823e+08,52.801,8706.89,0.503943,2.98315,901.097,7.19969e+06,6.89469e+08,0.113791,0.0325803,55.2544,52.6252,491876,416729,368.705,452.856,55.2544,52.6252,49,49,0.48,0,0
0.177494,0.354289,0.922304,159.937,2.22116e+06,1.22612e+08,52.7922,8705.45,0.500987,2.85108,901.082,6.86153e+06,6.8946e+08,0.118941,0.0336983,57.2395,54.4305,461745,380091,362.152,452.847,57.2395,54.4305,50,50,0.49,0,0
0.17184,0.34368,0.891539,154.839,2.14083e+06,1.1872e+08,52.7832,8703.84,0.5,2.71678,901.067,6.51898e+06,6.8945e+08,0.124203,0.0348016,59.2046,56.212,431682,343663,355.31,452.838,59.2046,56.212,51,51,0.5,0,0
0.166648,0.332639,0.863368,150.158,2.06696e+06,1.15146e+08,52.7376,8700.45,0.500987,2.58231,901.052,6.17743e+06,6.89442e+08,0.129433,0.0358729,61.0836,57.9418,402192,309014,348.275,452.83,61.0836,57.9418,52,52,0.51,0,0
0.161928,0.321322,0.837825,145.903,1.99968e+06,1.11898e+08,52.6868,8696.84,0.503943,2.44967,901.037,5.84192e+06,6.89435e+08,0.134639,0.0369041,62.8853,59.607,373706,275665,341.13,452.822,62.8853,59.607,53,53,0.52,0,0
0.157645,0.309802,0.814677,142.041,1.9384e+06,1.08951e+08,52.6389,8693.16,0.508856,2.31962,901.022,5.51434e+06,6.89428e+08,0.139827,0.0378917,64.6131,61.2016,346371,243954,333.906,452.815,64.6131,61.2016,54,54,0.53,0,0
0.153765,0.298163,0.79378,138.543,1.88278e+06,1.06282e+08,52.5915,8689.48,0.515708,2.19311,901.008,5.19704e+06,6.89423e+08,0.144962,0.0388322,66.2544,62.7202,320364,214128,326.65,452.808,66.2544,62.7202,55,55,0.54,0,0
