"rhoA","rhouA","rhoEA","area_aux","velocity_aux","density_aux","total_energy_aux","internal_energy_aux","pressure_aux","temperature_aux","mach_number_aux","norm_vel_aux","mu_max_aux","kappa_max_aux","mu_aux","kappa_aux","residual_aux","jump_grad_press_aux","jump_grad_dens_aux","jump_grad_press_smooth_aux","jump_grad_dens_smooth_aux","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.16745e-09,0.1,1,1.16744e-09,1,0.1,0.1,0.0666667,0.0666666,3.50233e-09,1.16744e-09,1.11788e-09,0.000750001,1.65106e-12,1.65106e-12,3.15139e-13,0.000294143,0.00264729,0.000591474,0.00532327,0,1,0.315,0.315,0,0
1,-1.00219e-06,0.100001,1,-1.00219e-06,1,0.100001,0.100001,0.066667,0.0666667,3.00656e-06,1.00219e-06,1.12877e-09,0.000750001,1.67534e-12,1.67534e-12,4.5093e-13,0.000295977,0.00266379,0.000594328,0.00534895,0,1,0.3195,0.3195,0,0
1,1.37144e-09,0.1,1,1.37144e-09,1,0.1,0.1,0.0666667,0.0666666,4.11433e-09,1.37144e-09,1.129e-09,0.000750001,1.68181e-12,1.68181e-12,3.90958e-13,0.000298283,0.00268455,0.000596526,0.00536873,0,1,0.324,0.324,0,0
1,-1.00021e-06,0.1,1,-1.0002e-06,1,0.1,0.1,0.066667,0.0666667,3.00061e-06,1.0002e-06,1.12677e-09,0.000750001,1.67369e-12,1.67369e-12,4.35359e-13,0.000296624,0.00266962,0.000594805,0.00535325,0,1,0.3285,0.3285,0,0
1,-3.78577e-09,0.1,1,-3.78576e-09,1,0.1,0.1,0.0666667,0.0666666,1.13573e-08,3.78576e-09,1.12949e-09,0.000750001,1.6681e-12,1.6681e-12,2.77946e-13,0.000293825,0.00264443,0.000591453,0.00532308,0,1,0.333,0.333,0,0
1,-9.93302e-07,0.100001,1,-9.93298e-07,1,0.100001,0.100001,0.066667,0.0666667,2.97989e-06,9.93298e-07,1.12172e-09,0.000750001,1.65963e-12,1.65963e-12,2.87233e-13,0.000294857,0.00265372,0.000592522,0.0053327,0,1,0.3375,0.3375,0,0
1,5.39775e-09,0.1,1,5.39774e-09,1,0.1,0.1,0.0666667,0.0666666,1.61932e-08,5.39774e-09,1.12353e-09,0.000750001,1.67006e-12,1.67006e-12,4.4358e-13,0.000297474,0.00267727,0.000595221,0.00535699,0,1,0.342,0.342,0,0
1,-1.00803e-06,0.1,1,-1.00803e-06,1,0.1,0.1,0.066667,0.0666667,3.02407e-06,1.00803e-06,1.1401e-09,0.000750001,1.694e-12,1.694e-12,3.62955e-13,0.000297411,0.0026767,0.000595014,0.00535513,0,1,0.3465,0.3465,0,0
1,-5.63462e-09,0.1,1,-5.63462e-09,1,0.1,0.1,0.0666667,0.0666666,1.69039e-08,5.63462e-09,1.14037e-09,0.000750001,1.68858e-12,1.68858e-12,4.75498e-13,0.000295703,0.00266133,0.000592928,0.00533636,0,1,0.351,0.351,0,0
1,-9.88947e-07,0.1,1,-9.88943e-07,1,0.1,0.1,0.066667,0.0666667,2.96683e-06,9.88943e-07,1.1189e-09,0.000750001,1.65024e-12,1.65024e-12,3.74426e-13,0.000294691,0.00265222,0.000590618,0.00531557,0,1,0.3555,0.3555,0,0
1,4.23438e-09,0.1,1,4.23437e-09,1,0.1,0.1,0.0666667,0.0666666,1.27031e-08,4.23437e-09,1.11732e-09,0.000750001,1.6518e-12,1.6518e-12,4.3919e-13,0.000294922,0.0026543,0.000591983,0.00532785,0,1,0.36,0.36,0,0
1,-1.00712e-06,0.100001,1,-1.00711e-06,1,0.100001,0.100001,0.066667,0.0666667,3.02133e-06,1.00711e-06,1.13776e-09,0.000750001,1.69065e-12,1.69065e-12,4.61721e-13,0.000296797,0.00267118,0.000595017,0.00535516,0,1,0.3645,0.3645,0,0
1,-1.42034e-09,0.1,1,-1.42034e-09,1,0.1,0.1,0.0666667,0.0666666,4.26102e-09,1.42034e-09,1.1346e-09,0.000750001,1.68937e-12,1.68937e-12,3.90662e-13,0.000298238,0.00268414,0.000596254,0.00536629,0,1,0.369,0.369,0,0
1,-9.95563e-07,0.1,1,-9.95558e-07,1,0.1,0.1,0.066667,0.0666667,2.98667e-06,9.95558e-07,1.1216e-09,0.000750001,1.66397e-12,1.66397e-12,5.26757e-13,0.000296024,0.00266422,0.000594037,0.00534633,0,1,0.3735,0.3735,0,0
1,-2.06675e-09,0.1,1,-2.06675e-09,1,0.1,0.1,0.0666667,0.0666666,6.20024e-09,2.06675e-09,1.12233e-09,0.000750001,1.65662e-12,1.65662e-12,4.07103e-13,0.000293226,0.00263904,0.000591076,0.00531969,0,1,0.378,0.378,0,0
1,-9.96225e-07,0.100001,1,-9.96221e-07,1,0.100001,0.100001,0.066667,0.0666667,2.98866e-06,9.96221e-07,1.12307e-09,0.000750001,1.66512e-12,1.66512e-12,5.01468e-13,0.000295066,0.00265559,0.000593678,0.0053431,0,1,0.3825,0.3825,0,0
1,5.10925e-09,0.1,1,5.10924e-09,1,0.1,0.1,0.0666667,0.0666666,1.53277e-08,5.10924e-09,1.1265e-09,0.000750001,1.67946e-12,1.67946e-12,3.80755e-13,0.000298407,0.00268567,0.000597022,0.0053732,0,1,0.387,0.387,0,0
1,-1.00752e-06,0.1,1,-1.00751e-06,1,0.1,0.1,0.066667,0.0666667,3.02253e-06,1.00751e-06,1.1392e-09,0.000750001,1.69568e-12,1.69568e-12,3.593e-13,0.000297617,0.00267856,0.000596078,0.0053647,0,1,0.3915,0.3915,0,0
1,-6.55695e-09,0.1,1,-6.55694e-09,1,0.1,0.1,0.0666667,0.0666666,1.96708e-08,6.55694e-09,1.14083e-09,0.000750001,1.68734e-12,1.68734e-12,5.49044e-13,0.000294847,0.00265362,0.000592224,0.00533002,0,1,0.396,0.396,0,0
1,-9.87397e-07,0.1,1,-9.87393e-07,1,0.1,0.1,0.066667,0.0666667,2.96218e-06,9.87393e-07,1.11819e-09,0.000750001,1.64816e-12,1.64816e-12,4.11532e-13,0.000294212,0.00264791,0.000590231,0.00531208,0,1,0.4005,0.4005,0,0
1,5.67453e-09,0.1,1,5.67452e-09,1,0.1,0.1,0.0666667,0.0666666,1.70236e-08,5.67452e-09,1.1172e-09,0.000750001,1.65446e-12,1.65446e-12,5.47807e-13,0.000295363,0.00265827,0.000592961,0.00533665,0,1,0.405,0.405,0,0
1,-1.00949e-06,0.100001,1,-1.00948e-06,1,0.100001,0.100001,0.066667,0.0666667,3.02845e-06,1.00948e-06,1.14205e-09,0.000750001,1.69851e-12,1.69851e-12,4.12626e-13,0.000297293,0.00267564,0.000595559,0.00536003,0,1,0.4095,0.4095,0,0
