"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.18028,0.00596312,715264,715291,901.177,452.951,0.0620934,9.38346e+07,0,90522.9,0,0,766662,2.70428e+06,0.18028,8.25736,0.000280826,0.000280826,748493,0.107708,12.3698,241635,6.22839,0.180347,2.64349,0.0141455,0.0141455,745555,2.90643,239858,1.09738,0,39,39
0.188144,0.00573226,691272,691302,901.168,452.944,0.062534,9.20343e+07,0,91160.3,0,0,766693,2.70433e+06,0.188145,8.26516,0.000295081,0.000295081,642958,0.0981966,12.4257,194804,6.26784,0.188217,2.63254,0.0132443,0.0132443,638889,2.63137,193226,0.916614,0,40,40
0.196247,0.0075658,665752,665784,901.158,452.938,0.0630032,9.0053e+07,0,91838.9,0,0,766727,2.70438e+06,0.196248,8.27321,0.000310195,0.000310195,509480,0.121375,12.4957,164244,6.31277,0.196328,2.62008,0.0133505,0.0133505,504445,2.08636,163412,0.770543,0,41,41
0.204645,0.00637772,638440,638473,901.147,452.93,0.0635064,8.78669e+07,0,92566.6,0,0,766764,2.70444e+06,0.204647,8.28154,0.000326135,0.000326135,292523,0.0888403,12.6034,138305,6.36162,0.204734,2.6059,0.0133713,0.0133713,287320,1.40384,137834,0.684811,0,42,42
0.213131,0.0092795,610183,610218,901.137,452.923,0.064026,8.55194e+07,0,93317.9,0,0,766803,2.7045e+06,0.213132,8.28996,0.000342607,0.000342607,343204,0.132042,12.6972,165581,6.41228,0.213227,2.59024,0.0155644,0.0155644,342204,1.72807,165313,0.74011,0,43,43
0.221861,0.00813234,580207,580243,901.125,452.915,0.064574,8.2934e+07,0,94110.1,0,0,766846,2.70456e+06,0.221862,8.29862,0.000359553,0.000359553,137726,0.0985181,12.8374,222131,6.46058,0.221965,2.57256,0.0178776,0.0178776,141992,0.802218,222136,0.804412,0,44,44
0.230542,0.0110156,549859,549896,901.114,452.907,0.0651255,8.02125e+07,0,94907,0,0,766891,2.70463e+06,0.230543,8.30723,0.000376198,0.000376198,297495,0.137786,12.9432,261990,6.49888,0.230654,2.55344,0.0208582,0.0208582,299651,1.58589,261309,0.908516,0,45,45
0.239362,0.0119404,518213,518252,901.101,452.899,0.0656907,7.7249e+07,0,95723.6,0,0,766938,2.7047e+06,0.239364,8.31598,0.000392381,0.000392381,450390,0.137909,13.0503,270881,6.52198,0.239482,2.53216,0.0244093,0.0244093,449165,1.58951,268888,0.990504,0,46,46
0.248118,0.0123075,486432,486471,901.089,452.891,0.0662484,7.41469e+07,0,96528.9,0,0,766988,2.70477e+06,0.24812,8.32466,0.000407733,0.000407733,393336,0.130138,13.0787,230803,6.52903,0.248246,2.50934,0.0242718,0.0242718,389264,1.54622,227806,0.879767,0,47,47
0.256834,0.0151257,454297,454336,901.077,452.882,0.0667915,7.08594e+07,0,97312.7,0,0,767041,2.70485e+06,0.256836,8.3333,0.000422303,0.000422303,317020,0.156439,13.1005,162355,6.52368,0.256973,2.48461,0.0220746,0.0220746,310274,1.32437,159350,0.60093,0,48,48
